timestep,P_con,P_ext,T
1000000,0.8118543163832357,1.424838646259415,-1.648941784222858
2000000,0.8072314973002089,1.4329936522344444,-1.6570851541765514
3000000,0.8093958328613345,1.4340795339437384,-1.658186012268638
4000000,0.807260706604708,1.4321487805502782,-1.656269127807732
5000000,0.8077739409027848,1.4318806188311501,-1.6559775466541449
6000000,0.8134407484020896,1.4361740452853886,-1.6602738799520527
7000000,0.8094762916348313,1.435406668838075,-1.6595055911387724
8000000,0.8116252335208582,1.434502838759995,-1.6585762860298492
9000000,0.810345091507497,1.4338538701824417,-1.6579443847934756
10000000,0.8106831707345724,1.433631695157218,-1.657707981215403
